Date, Close/Last, Volume, Open, High, Low
2018-09-10,62.51,3674743,61.9,62.72,61.63
2018-09-07,61.9,3836515,61.44,62.705,61.205
2018-09-06,61.03,2506543,61.4,61.75,60.66
2018-09-05,61.4,4870218,62.15,62.74,61.3
2018-09-04,61.99,5585149,61.43,62.55,61.13
2018-08-31,61.3,3292311,60.86,61.75,60.81
2018-08-30,60.82,3083249,61.05,61.41,60.54
2018-08-29,61.22,3136509,61.33,61.56,60.83
2018-08-28,61.33,4382020,61.03,61.53,60.8
2018-08-27,60.91,2702231,61.16,61.38,60.7
2018-08-24,60.99,2699745,60.49,61.07,59.93
2018-08-23,61.01,3031873,60.64,61.33,60.36
2018-08-22,60.61,2176925,60.81,60.995,60.27
2018-08-21,61.0,4070880,61.48,62.2,60.955
2018-08-20,61.63,6105901,59.95,62.05,59.89
2018-08-17,59.68,3166036,59.59,59.83,59.05
2018-08-16,59.52,5344963,60.55,60.96,59.325
2018-08-15,60.33,6498988,59.04,60.48,58.91
2018-08-14,59.09,3297198,58.94,59.84,58.93
2018-08-13,58.84,2972911,59.05,59.3721,58.52
2018-08-10,58.99,3218485,58.78,59.09,58.3
2018-08-09,58.99,2762974,58.86,59.28,58.81
2018-08-08,58.82,4003729,58.77,59.33,58.61
2018-08-07,58.09,2555928,58.15,58.64,57.84
2018-08-06,57.79,2989023,57.21,57.915,57.1
2018-08-03,57.41,3826887,56.83,57.49,56.8
2018-08-02,56.69,3507499,56.21,56.76,55.61
2018-08-01,56.52,4223462,58.12,58.34,56.44
2018-07-31,58.16,5136700,58.14,59.33,58.11
2018-07-30,57.9,5467570,58.08,58.43,57.52
2018-07-27,58.38,8891433,56.59,58.43,56.51
2018-07-26,56.7,11992070,52.1,56.88,52.03
2018-07-25,52.29,5443937,52.0,52.62,51.6599
2018-07-24,51.91,5780626,53.74,53.75,51.84
2018-07-23,53.56,3845214,53.26,53.705,52.78
2018-07-20,53.43,4674401,53.58,53.87,53.235
2018-07-19,53.78,4012063,54.02,54.1,53.41
2018-07-18,53.9,7247533,54.06,55.23,53.75
2018-07-17,53.22,3942120,52.91,53.72,52.91
2018-07-16,53.08,3713712,53.39,53.49,52.75
2018-07-13,53.09,3391895,52.67,53.25,52.63
2018-07-12,52.77,4101117,53.13,53.22,51.86
2018-07-11,52.53,5787057,52.54,52.655,51.63
2018-07-10,53.0,3425217,53.14,53.2,52.4666
2018-07-09,53.26,4829160,52.9,53.52,52.58
2018-07-06,52.74,5796579,52.06,53.04,52.0
2018-07-05,51.86,4431422,51.77,52.05,51.56
2018-07-03,51.52,2470351,51.56,52.07,51.13
2018-07-02,51.54,5126420,50.63,51.59,50.5
2018-06-29,50.88,4227619,50.8,51.45,50.73
2018-06-28,50.7,4650731,50.72,50.98,50.19
2018-06-27,50.37,6724636,51.21,51.23,50.18
2018-06-26,51.17,4410878,51.59,51.59,50.94
2018-06-25,51.28,7835766,51.61,51.86,50.92
2018-06-22,51.91,10088930,52.86,53.54,51.88
2018-06-21,53.15,8095094,51.93,53.24,51.83
2018-06-20,52.0,7040444,51.99,52.03,51.53
2018-06-19,51.71,4658393,52.03,52.09,51.17
2018-06-18,52.37,5538727,51.83,52.51,51.38
2018-06-15,52.18,8635410,51.63,52.43,51.37
2018-06-14,51.94,5679318,51.6,52.07,51.4
2018-06-13,51.35,6088409,51.2,51.88,51.15
2018-06-12,50.97,8067368,51.05,51.17,50.58
2018-06-11,50.98,9799345,50.96,51.97,50.71
2018-06-08,50.48,4939098,50.54,50.82,50.23
2018-06-07,50.64,5576241,50.75,50.955,50.34
2018-06-06,50.75,7319215,50.35,50.83,49.93
2018-06-05,50.9,4617970,51.19,51.3974,50.41
2018-06-04,51.65,5321114,51.13,52.0785,51.0
2018-06-01,50.96,5484488,51.2,51.54,50.625
2018-05-31,51.08,7053648,51.34,51.8,50.92
2018-05-30,51.33,5441083,51.75,51.84,50.9299
2018-05-29,51.49,7163519,52.62,52.8,51.21
2018-05-25,52.86,9284188,51.4,53.45,51.36
2018-05-24,51.21,8488898,50.41,51.52,50.21
2018-05-23,50.32,7578559,50.83,50.87,50.2
2018-05-22,50.85,9568216,52.51,52.67,50.68
2018-05-21,52.22,7235202,52.45,52.84,52.14
2018-05-18,52.19,6950162,52.36,53.02,52.12
2018-05-17,52.47,6222722,53.09,53.61,52.38
2018-05-16,53.01,5825759,51.75,53.37,51.59
2018-05-15,51.7,5241129,51.98,52.09,51.435
2018-05-14,52.2,7020362,52.51,52.74,52.07
2018-05-11,52.46,4890295,52.2,52.68,51.92
2018-05-10,51.94,6779396,51.3,52.19,51.26
2018-05-09,51.56,4217457,52.12,52.4,51.425
2018-05-08,52.33,6254545,52.17,53.07,51.945
2018-05-07,52.0,4760643,52.8,52.94,51.95
2018-05-04,52.78,4067497,52.0,53.0955,51.905
2018-05-03,52.24,4330631,52.15,52.54,51.58
2018-05-02,52.21,6221473,52.98,53.4,52.19
2018-05-01,52.94,4014101,52.8,53.21,52.15
2018-04-30,52.83,8023025,53.62,53.78,52.705
2018-04-27,53.53,4891448,53.14,53.87,52.73
2018-04-26,53.3,9802147,52.19,53.79,51.0
2018-04-25,53.83,4566142,53.85,54.14,52.83
2018-04-24,53.88,3659484,55.32,55.38,53.43
2018-04-23,54.98,4465503,54.84,55.54,54.61
2018-04-20,54.77,5031200,54.85,55.21,54.34
2018-04-19,54.8,4357650,55.65,55.7,54.42
2018-04-18,55.82,6502005,54.5,56.52,54.38
2018-04-17,54.27,8052289,55.35,55.49,53.21
2018-04-16,54.89,5173678,55.3,55.75,54.56
2018-04-13,55.07,4754504,55.12,55.99,54.52
2018-04-12,54.94,5680870,54.09,55.94,53.78
2018-04-11,53.5,3596425,53.85,54.34,53.5
